Open,Close,High,Low,Volume,Date
5.87,5.875,5.9,5.815,76,113.00,12/16/10
5.84,5.8425,5.945,5.8,113,784.00,12/15/10
5.87,5.8725,5.89,5.835,88,285.00,12/14/10
5.87,5.885,5.89,5.5575,120,284.00,12/13/10
5.5675,5.6025,5.6525,5.5375,8,727.00,12/10/10
5.575,5.6025,5.6425,5.545,11,452.00,12/09/10
5.63,5.595,5.5975,5.3875,13,045.00,12/08/10
5.48,5.4725,5.615,5.4275,15,382.00,12/07/10
5.53,5.5375,5.605,5.48,19,856.00,12/06/10
5.4925,5.59,5.5925,5.41,18,718.00,12/03/10
5.52,5.4075,5.5325,5.405,28,729.00,12/02/10
5.52,5.5175,5.5275,5.29,41,571.00,12/01/10
5.325,5.3,5.41,5.295,46,073.00,11/30/10
5.3975,5.3825,5.41,5.365,9,492.00,11/29/10
0,5.4325,5.4425,5.355,13,315.00,11/28/10
5.3675,5.39,5.435,5.3075,65,628.00,11/26/10
0,5.3675,5.435,5.3625,5,788.00,11/25/10
5.39,5.3875,5.395,5.285,113,557.00,11/24/10
5.28,5.285,5.345,5.285,6,762.00,11/23/10
5.14,5.1525,5.2,5.1325,6,846.00,11/22/10
5.23,5.3025,5.3225,5.14,24,869.00,11/21/10
5.24,0,0,0,,11/20/10
5.24,5.2075,5.4825,5.185,177,126.00,11/19/10
5.4175,5.4175,5.455,5.36,7,440.00,11/18/10
5.25,5.2575,5.355,5.26,11,120.00,11/17/10
5.27,5.265,5.275,5.09,42,634.00,11/16/10
5.555,5.555,5.5625,5.515,7,663.00,11/15/10
5.34,5.415,5.51,5.39,30,378.00,11/14/10
5.34,5.34,5.665,5.34,239,900.00,11/12/10
5.63,5.64,5.665,5.4525,35,591.00,11/11/10
5.67,5.6675,5.7275,5.655,7,016.00,11/10/10
5.7625,5.7625,5.7525,5.695,18,284.00,11/09/10
5.86,5.8525,5.915,5.8525,23,731.00,11/08/10
5.8625,5.8825,5.8925,5.8525,6,915.00,11/07/10
5.8625,5.8775,5.9175,5.83,152,949.00,11/05/10
5.9,5.9,5.9575,5.805,166,197.00,11/04/10
5.7825,5.81,5.8225,5.6875,167,311.00,11/03/10
5.76,5.7575,5.83,5.7225,152,951.00,11/02/10
5.765,5.7725,5.9075,5.72,139,476.00,11/01/10
5.81,0,0,0,,10/31/10
5.81,5.82,5.83,5.71,109,957.00,10/29/10
5.79,5.79,5.8525,5.7525,167,569.00,10/28/10
5.77,5.7725,5.79,5.615,156,100.00,10/27/10
5.72,5.71,5.7725,5.62,154,269.00,10/26/10
5.67,5.6875,5.755,5.605,129,321.00,10/25/10
5.6,0,0,0,,10/24/10
5.6,5.6,5.71,5.595,125,569.00,10/22/10
5.64,5.6425,5.795,5.6175,169,106.00,10/21/10
5.725,5.735,5.76,5.44,203,709.00,10/20/10
5.46,5.46,5.62,5.4275,205,700.00,10/19/10
5.58,5.5725,5.63,5.53,128,601.00,10/18/10
5.6225,0,0,0,,10/17/10
5.6225,5.63,5.75,5.62,144,841.00,10/15/10
5.67,5.6725,5.7975,5.6575,170,430.00,10/14/10
5.69,5.6925,5.88,5.655,229,364.00,10/13/10
5.785,5.79,5.8425,5.545,259,835.00,10/12/10
5.5525,5.5575,5.7325,5.55,255,068.00,10/11/10
5.7325,0,0,0,,10/10/10
5.7325,5.2825,5.2825,4.96,75,238.00,10/08/10
4.975,4.9825,5.025,4.8775,188,289.00,10/07/10
4.8875,4.885,4.96,4.8725,122,394.00,10/06/10
4.88,4.91,4.935,4.6475,190,463.00,10/05/10
4.7,4.715,4.7375,4.5425,194,620.00,10/04/10
4.6575,0,0,0,,10/03/10
4.6575,4.6575,4.9475,4.6575,278,085.00,10/01/10
4.9475,4.9575,5.0825,4.785,280,458.00,09/30/10
5.05,5.05,5.06,4.86,193,397.00,09/29/10
5,5,5.135,4.995,137,969.00,09/28/10
5.1375,5.1275,5.2875,5.1125,162,650.00,09/27/10
5.205,0,0,0,,09/26/10
5.205,5.2175,5.235,4.965,185,275.00,09/24/10
4.975,4.9925,5.07,4.9525,175,941.00,09/23/10
5.05,5.05,5.12,5.0025,170,845.00,09/22/10
5.05,5.0525,5.1725,5.035,166,141.00,09/21/10
5.07,5.0825,5.2375,5.0775,209,254.00,09/20/10
5.13,0,0,0,,09/19/10
5.13,5.1325,5.1725,4.965,241,147.00,09/17/10
4.9525,4.96,4.975,4.895,146,525.00,09/16/10
