dates,Open,High,Low,Close,Volume,OpenInt,TotalOpenInt
3/22/11,0,577.75,577.75,577.75,0,43,1580941
3/23/11,0,575.75,575.75,575.75,0,43,1570517
3/24/11,0,586.75,586.75,586.75,0,43,1571055
3/25/11,0,574.5,574.5,574.5,0,43,1567240
3/28/11,0,567.75,567.75,567.75,0,43,1566990
3/29/11,0,575.25,575.25,575.25,0,43,1551287
3/30/11,572,572,567.25,567.25,0,43,1533099
3/31/11,0,594.5,594.5,594.5,2,43,1534710
4/1/11,0,587,587,587,0,43,1562097
4/4/11,0,587.25,587.25,587.25,0,43,1598125
4/5/11,0,587.75,587.75,587.75,0,43,1618884
4/6/11,0,586.5,586.5,586.5,0,43,1618508
4/7/11,0,585.25,585.25,585.25,0,43,1631127
4/8/11,0,595,595,595,2,43,1636355
4/11/11,0,597.75,597.75,597.75,0,43,1657393
4/12/11,0,582.5,582.5,582.5,0,43,1669432
4/13/11,0,601.5,601.5,601.5,0,43,1659868
4/14/11,600,603,600,603,0,43,1646488
4/15/11,0,598.5,598.5,598.5,3,46,1636459
4/18/11,604.25,605.75,604.25,605.75,0,46,1627665
4/19/11,0,604,604,604,1,45,1637914
4/20/11,602.75,602.75,595.5,595.5,0,45,1650391
4/21/11,0,609.5,609.5,609.5,10,48,1647573
4/22/11,0,609.5,609.5,609.5,0,0,0
4/25/11,0,613,613,613,0,48,1631763
4/26/11,0,609.75,609.75,609.75,0,48,1612141
4/27/11,0,604.75,604.75,604.75,1,49,1592732
4/28/11,602,605.5,585,585,0,49,1552607
4/29/11,0,602.5,602.5,602.5,9,52,1522749
5/2/11,0,605.75,605.75,605.75,0,52,1503973
5/3/11,0,602.25,602.25,602.25,0,52,1496704
5/4/11,0,603.25,603.25,603.25,0,52,1492619
5/5/11,0,597.75,597.75,597.75,0,52,627
5/6/11,0,584.25,584.25,584.25,0,52,1479541
5/9/11,0,601.5,601.5,601.5,0,52,1462118
5/10/11,0,600.75,600.75,600.75,0,52,1457358
5/11/11,599,599,580,580,0,52,1445978
5/12/11,0,589.5,589.5,589.5,50,68,1437382
5/13/11,590,590,589,589,0,68,1433288
5/16/11,589,589.5,589,589.5,1,68,1423202
5/17/11,0,607.75,607.75,607.75,2,70,1415587
5/18/11,0,608.75,608.75,608.75,2,70,1421487
5/19/11,610,610,604,604,0,70,1419248
5/20/11,0,608.5,608.5,608.5,1,70,1417993
5/23/11,0,608.5,608.5,608.5,0,70,1413568
5/24/11,0,604.5,604.5,604.5,1,70,1409459
5/25/11,0,611.75,611.75,611.75,0,70,1405435
5/26/11,0,610.25,610.25,610.25,0,70,1417063
5/27/11,0,612,612,612,0,70,1425521
5/30/11,0,612,612,612,0,0,0
5/31/11,0,603.25,603.25,603.25,0,70,1437449
6/1/11,0,608.5,608.5,608.5,0,70,1435358
6/2/11,0,616.5,616.5,616.5,0,70,1441858
