dates,Open,High,Low,Close,Volume,OpenInt,TotalOpenInt
3/16/12,0,1255.5,1255.5,1255.5,0,6,628880
3/19/12,0,1249.5,1249.5,1249.5,0,6,630683
3/20/12,0,1234.5,1234.5,1234.5,0,6,643335
3/21/12,0,1242,1242,1242,0,6,640010
3/22/12,0,1237,1237,1237,0,6,647054
3/23/12,0,1244.5,1244.5,1244.5,0,6,647873
3/26/12,0,1247.5,1247.5,1247.5,0,6,661772
3/27/12,0,1247.25,1247.25,1247.25,0,6,678977
3/28/12,0,1240.5,1240.5,1240.5,0,6,684579
3/29/12,0,1227.25,1227.25,1227.25,0,6,687979
3/30/12,1252,1252,1251.75,1251.75,0,6,689227
4/2/12,0,1265.75,1265.75,1265.75,2,6,720724
4/3/12,0,1269.75,1269.75,1269.75,0,6,742059
4/4/12,0,1268.25,1268.25,1268.25,0,6,753503
4/5/12,0,1266.5,1266.5,1266.5,0,6,768126
4/9/12,0,1267.25,1267.25,1267.25,0,6,779218
4/10/12,0,1251.25,1251.25,1251.25,0,6,782310
4/11/12,0,1248.25,1248.25,1248.25,0,6,786976
4/12/12,0,1261.25,1261.25,1261.25,0,6,784896
4/13/12,0,1248.75,1248.75,1248.75,0,6,789929
4/16/12,0,1244.5,1244.5,1244.5,0,6,796841
4/17/12,0,1251.5,1251.5,1251.5,0,6,799006
4/18/12,0,1237,1237,1237,0,6,811920
4/19/12,0,1243,1243,1243,0,6,811569
4/20/12,0,1246.5,1246.5,1246.5,0,6,817841
4/23/12,0,1237.75,1237.75,1237.75,0,6,815956
4/24/12,0,1241.25,1241.25,1241.25,0,6,811353
4/25/12,0,1249.25,1249.25,1249.25,0,6,815824
4/26/12,0,1240,1240,1240,0,6,813654
4/27/12,0,1241.25,1241.25,1241.25,0,6,800781
4/30/12,0,1253.25,1253.25,1253.25,0,6,797618
5/1/12,0,1229,1229,1229,0,0,0
5/2/12,0,1231,1231,1231,0,6,807123
5/3/12,0,1241,1241,1241,0,6,810246
5/4/12,0,1241.75,1241.75,1241.75,0,6,807369
5/7/12,0,1229,1229,1229,0,6,807314
5/8/12,0,1215,1215,1215,0,6,808932
5/9/12,1211,1211,1205,1205,0,6,798730
5/10/12,0,1212.25,1212.25,1212.25,2,6,790130
